Date,Open,High,Low,Close,Adj Close,Volume
2023-04-24,18.750000,19.719999,18.719999,19.290001,19.290001,5074100
2023-05-01,19.160000,20.879999,18.059999,20.420000,20.420000,13854400
2023-05-08,20.459999,21.160000,20.090000,20.690001,20.690001,9721800
2023-05-15,20.620001,23.299999,20.490000,22.059999,22.059999,14483300
2023-05-22,22.100000,24.360001,21.990000,23.250000,23.250000,16695400
2023-05-29,23.350000,24.930000,23.299999,24.639999,24.639999,16441100
2023-06-05,24.530001,26.549999,20.100000,22.680000,22.680000,55721800
2023-06-12,22.850000,27.650000,22.740000,24.559999,24.559999,41464500
2023-06-19,24.410000,25.100000,23.680000,23.700001,23.700001,9775800
2023-06-26,23.379999,25.469999,22.910000,24.250000,24.250000,14059100
2023-07-03,24.290001,25.110001,22.670000,22.709999,22.709999,8893900
2023-07-10,22.610001,24.440001,22.000000,22.969999,22.969999,12211400
2023-07-17,22.879999,23.799999,22.160000,22.180000,22.180000,12012000
2023-07-24,22.420000,23.490000,21.790001,21.930000,21.930000,12144600
2023-07-31,22.000000,22.379999,20.340000,20.980000,20.980000,10885500
2023-08-07,20.900000,21.240000,19.820000,20.190001,20.190001,8734800
2023-08-14,19.750000,20.010000,18.139999,18.360001,18.360001,12715900
2023-08-21,18.299999,18.820000,16.180000,17.129999,17.129999,16613700
2023-08-28,17.350000,19.420000,17.250000,18.420000,18.420000,14407000
2023-09-04,18.450001,19.480000,17.350000,17.709999,17.709999,19599000
2023-09-11,17.850000,18.610001,16.900000,18.219999,18.219999,20971800
2023-09-18,17.990000,18.100000,16.650000,17.180000,17.180000,13419600
2023-09-25,17.000000,18.100000,16.400000,16.459999,16.459999,17409800
2023-10-02,16.299999,16.309999,14.440000,15.080000,15.080000,17587800
2023-10-09,14.770000,16.190001,14.720000,14.920000,14.920000,12294000
2023-10-16,14.810000,14.930000,12.900000,13.440000,13.440000,20862400
2023-10-23,13.280000,14.300000,13.020000,13.120000,13.120000,13009200
2023-10-30,13.150000,14.400000,12.590000,13.870000,13.870000,18010300
2023-11-06,13.990000,14.050000,12.350000,12.540000,12.540000,12846900
2023-11-13,12.500000,13.500000,11.830000,13.030000,13.030000,20467600
2023-11-20,13.000000,13.200000,12.180000,12.200000,12.200000,9596300
2023-11-27,12.180000,17.559999,11.890000,15.300000,15.300000,108960800
2023-12-04,15.290000,17.410000,13.560000,15.550000,15.550000,77226200
2023-12-11,15.450000,17.879999,14.840000,17.260000,17.260000,36119600
2023-12-18,17.240000,18.590000,16.450001,16.969999,16.969999,25652700
2023-12-25,16.980000,18.370001,16.820000,17.530001,17.530001,15978700
2024-01-01,17.250000,17.600000,15.900000,15.960000,15.960000,13908800
2024-01-08,15.780000,16.120001,14.730000,14.750000,14.750000,14795800
2024-01-15,14.600000,14.770000,13.710000,14.510000,14.510000,12584900
2024-01-22,14.500000,15.160000,13.820000,14.490000,14.490000,15540300
2024-01-29,14.500000,14.920000,14.020000,14.730000,14.730000,11644300
2024-02-05,14.500000,15.230000,13.400000,14.660000,14.660000,14770700
2024-02-12,14.580000,15.220000,13.770000,14.120000,14.120000,13740900
2024-02-19,13.960000,14.050000,13.120000,13.510000,13.510000,9653300
2024-02-26,13.310000,15.090000,13.200000,14.950000,14.950000,15044400
2024-03-04,14.930000,15.890000,14.520000,14.650000,14.650000,16616000
2024-03-11,14.640000,15.200000,14.090000,14.240000,14.240000,14403300
2024-03-18,14.250000,14.300000,13.010000,13.100000,13.100000,19089600
2024-03-25,13.420000,15.630000,12.470000,12.520000,12.520000,54006900
2024-04-01,12.630000,12.670000,10.900000,11.250000,11.250000,28964100
2024-04-08,11.300000,11.390000,10.730000,10.770000,10.770000,17718100
2024-04-15,10.810000,10.840000,9.950000,10.420000,10.420000,15975600
2024-04-22,10.410000,12.190000,10.010000,11.900000,11.900000,23132400
2024-04-26,11.180000,12.190000,11.000000,11.900000,11.900000,7581349
